lw	s	expr	tenure	rns	smsa	iq	s	med	mrt	kww	age	age2
5.075	12	.964	1	0	1	94	12	12	0	17	20	400
6.021	13	1.584	1	1	1	109	13	12	0	27	20	400
5.707	16	.874	1	0	0	122	16	8	1	38	22	484
5.298	12	0	2	0	1	102	12	11	0	26	23	529
5.583	14	2.689	1	0	1	122	14	8	1	38	23	529
5.587	12	4.378	2	0	1	105	12	10	1	38	23	529
5.493	12	2	2	0	1	113	12	9	0	37	22	484
5.872	12	3.932	0	0	1	104	12	8	1	34	22	484
6.176	16	.377	6	0	1	124	16	9	1	43	26	676
5.193	12	1.218	1	0	0	110	12	12	0	31	19	361
5.521	12	1.833	1	0	1	95	12	12	0	37	19	361
6.125	16	1.422	2	0	0	120	16	18	1	39	24	576
5.263	12	4.964	1	0	0	105	12	12	0	39	24	576
5.889	16	.482	0	0	0	121	16	12	0	30	20	400
6.586	12	0	7	0	1	96	12	8	1	42	26	676
5.529	12	2.136	1	0	0	110	12	9	0	26	18	324
5.165	12	0	1	0	0	92	12	12	0	32	18	324
6.071	12	7.991	4	0	1	98	12	9	1	34	29	841
5.759	15	.846	1	0	1	109	15	11	1	43	23	529
5.999	17	.331	1	0	1	118	17	11	0	44	23	529
5.872	16	0	3	0	1	97	16	14	1	42	23	529
6.091	17	0	2	0	1	95	17	16	1	42	28	784
6.176	12	1.866	3	0	1	99	12	10	1	40	26	676
5.541	12	.378	1	0	0	106	12	10	1	31	18	324
5.46	12	.962	1	0	1	117	12	12	0	33	18	324
5.521	12	6.378	7	0	0	90	12	12	1	47	23	529
5.209	12	4.5	1	0	1	95	12	12	0	44	21	441
5.455	12	1.333	1	0	1	115	12	12	0	43	18	324
5.635	14	1.503	5	0	1	106	14	12	0	40	22	484
5.298	12	0	1	0	0	114	12	8	0	26	18	324
5.793	12	.717	2	0	0	92	12	12	0	34	20	400
6.306	16	1.708	2	0	0	119	16	13	1	36	23	529
4.927	13	.678	1	0	0	85	13	13	0	32	20	400
5.858	16	.366	1	0	0	98	16	12	0	34	21	441
5.587	12	1.458	3	0	0	114	12	12	1	30	20	400
5.011	18	.378	1	0	0	84	18	8	1	42	23	529
5.153	13	.333	1	0	0	108	13	16	1	42	19	361
5.403	12	4.067	1	0	0	107	12	8	1	32	20	400
5.451	12	3.212	3	0	0	84	12	16	1	35	24	576
5.165	12	.378	2	0	0	86	12	10	1	22	18	324
5.541	12	3.378	4	0	0	88	12	10	0	27	21	441
6.136	16	.876	1	0	1	117	16	12	1	45	23	529
6.192	16	5.768	2	0	1	110	16	12	0	42	22	484
6.62	12	4.898	1	0	1	104	12	9	1	32	24	576
5.67	13	0	3	0	1	110	13	9	0	26	19	361
5.951	16	3.121	1	0	1	99	16	11	1	33	22	484
5.67	12	0	1	0	1	117	12	12	0	31	18	324
5.71	16	0	1	0	0	85	16	8	1	39	23	529
5.846	16	4.191	0	0	0	114	16	11	1	36	21	441
5.69	15	0	5	0	0	107	15	12	1	30	21	441
6.402	18	.628	1	0	1	117	18	12	1	41	26	676
6.645	18	2.397	3	0	1	112	18	16	1	47	30	900
6.422	18	1.013	1	0	1	106	18	14	1	46	28	784
5.846	14	0	1	0	1	116	14	12	0	38	21	441
5.953	14	0	3	0	1	123	14	8	0	44	21	441
6.071	16	.378	1	0	1	118	16	8	0	40	21	441
6.5	12	0	1	0	1	103	12	12	1	29	23	529
5.649	12	5.333	2	0	1	114	12	8	1	40	23	529
5.1	12	4.273	5	0	1	102	12	12	1	36	21	441
5.598	12	4.733	1	0	1	104	12	6	0	36	22	484
5.561	14	.378	1	0	1	112	14	14	0	43	19	361
5.694	12	.346	1	0	1	107	12	12	0	39	18	324
5.872	13	4.933	3	0	1	117	13	12	1	36	25	625
5.298	12	0	2	0	1	96	12	12	1	42	19	361
5.914	12	.354	1	0	1	97	12	8	0	27	18	324
5.394	10	2.628	1	0	1	99	10	8	0	29	19	361
5.784	14	.906	3	0	1	126	14	8	0	44	21	441
5.886	17	.981	1	0	1	109	17	12	0	49	25	625
4.942	16	.058	0	0	1	119	16	12	0	48	21	441
5.858	16	3.143	1	0	1	102	16	12	1	38	21	441
5.352	17	0	1	0	1	105	17	9	0	45	24	576
5.666	16	0	1	0	1	117	16	12	0	40	20	400
5.935	16	3.25	4	0	1	112	16	12	0	40	24	576
5.357	10	0	0	0	1	89	10	8	0	28	16	256
5.759	12	0	1	0	1	131	12	12	0	39	18	324
6.297	16	.816	0	0	1	114	16	16	1	28	20	400
5.737	12	4.712	6	0	1	98	12	10	0	35	23	529
6.04	13	1.361	2	0	1	125	13	12	0	30	20	400
5.838	16	2.378	1	0	1	100	16	10	0	38	25	625
5.617	12	0	4	0	1	113	12	8	0	26	18	324
5.663	16	1	1	0	1	102	16	10	0	46	23	529
5.438	18	.378	5	0	1	82	18	12	0	33	23	529
5.652	14	1.575	2	0	1	112	14	12	1	47	21	441
5.403	16	0	0	1	1	111	16	8	0	38	23	529
5.298	13	0	1	0	1	96	13	11	0	24	19	361
5.694	16	1.333	1	0	1	127	16	16	0	48	23	529
6.215	14	1	1	0	1	97	14	8	0	47	24	576
6.62	14	.795	2	0	1	120	14	12	1	50	25	625
5.991	16	.397	2	0	1	101	16	16	0	41	27	729
5.811	14	3.333	2	0	1	120	14	12	0	40	23	529
5.82	12	1.333	3	0	1	110	12	5	0	23	18	324
4.828	9	0	1	0	1	94	9	5	0	35	17	289
6.292	16	2.261	5	0	1	120	16	17	1	50	27	729
5.663	12	5.378	7	0	1	108	12	8	1	45	22	484
5.846	9	3.583	1	0	1	103	9	11	0	31	19	361
6.016	12	1	6	0	1	106	12	11	1	36	22	484
6.492	16	.378	10	0	1	119	16	12	0	37	29	841
5.858	12	7.282	1	0	1	87	12	8	1	33	27	729
5.464	16	0	1	0	1	121	16	11	1	49	22	484
5.425	12	0	1	0	1	112	12	12	0	33	20	400
6.082	12	0	7	0	1	103	12	12	1	36	27	729
5.846	16	1.333	1	0	1	99	16	16	1	48	23	529
5.759	14	1.378	3	0	1	101	14	12	1	40	23	529
5.749	13	.378	3	0	1	109	13	8	1	41	25	625
5.835	12	0	1	0	1	73	12	12	0	46	19	361
5.784	16	.311	1	0	1	116	16	16	1	27	21	441
5.142	12	0	1	0	1	98	12	12	0	42	18	324
5.298	13	.328	1	1	1	104	13	14	0	43	20	400
4.92	12	0	0	0	1	78	12	12	0	29	19	361
5.298	11	2.128	1	0	1	85	11	12	1	39	20	400
5.38	12	.453	1	0	1	104	12	12	0	25	17	289
5.759	12	6.378	8	0	1	109	12	8	1	48	23	529
5.481	13	0	1	0	1	96	13	10	0	33	19	361
5.394	12	4.333	4	0	1	90	12	12	1	32	23	529
6.153	15	1.462	2	0	1	103	15	12	1	29	24	576
5.935	16	.333	1	0	1	106	16	14	1	41	21	441
6.105	16	4.235	0	0	1	96	16	14	1	32	22	484
5.298	12	.492	2	0	1	114	12	8	1	39	20	400
4.787	10	.333	1	0	1	86	10	9	0	33	17	289
6.052	16	1.753	0	1	1	110	16	13	1	38	24	576
5.852	12	4.295	7	0	1	87	12	12	1	41	24	576
5.298	12	0	2	0	1	89	12	13	0	31	17	289
5.743	12	1.769	1	0	1	106	12	8	1	40	18	324
5.476	12	.91	1	0	1	100	12	5	0	43	19	361
5.858	12	4.428	1	0	1	111	12	16	1	38	21	441
5.927	12	3.515	4	0	1	100	12	12	1	40	23	529
5.663	12	3.378	4	0	1	114	12	12	1	38	20	400
6.033	18	0	0	0	1	98	18	13	1	45	26	676
5.858	11	.795	1	0	1	89	11	9	0	24	18	324
5.298	10	.462	1	0	1	74	10	11	1	23	17	289
5.704	13	2.795	3	0	0	130	13	11	1	29	26	676
6.165	16	.365	1	0	1	108	16	12	1	51	27	729
5.389	12	2.333	2	0	0	98	12	10	1	31	19	361
5.953	16	.369	1	0	1	125	16	16	0	27	21	441
5.762	16	0	1	0	1	104	16	12	1	29	21	441
5.557	12	3	0	0	1	98	12	8	0	33	19	361
6.033	15	0	3	0	0	104	15	11	1	37	25	625
5.521	12	4.617	5	0	1	120	12	8	0	33	22	484
5.298	12	0	1	0	1	134	12	8	0	38	17	289
5.375	9	4.25	4	0	1	92	9	8	1	28	20	400
5.866	16	4.548	2	0	0	129	16	13	1	34	22	484
6.192	13	0	7	0	0	118	13	12	1	42	27	729
5.82	12	.378	1	0	0	107	12	12	0	37	17	289
5.606	12	5.461	1	0	1	92	12	12	1	37	24	576
4.828	16	.378	0	0	1	118	16	16	0	33	21	441
6.052	17	.669	0	0	1	108	17	12	1	38	23	529
5.209	12	5.333	1	0	0	119	12	12	1	42	22	484
5.501	12	.414	1	0	0	109	12	8	0	29	18	324
5.908	12	9.086	1	0	0	91	12	8	1	41	27	729
5.298	14	0	1	0	0	118	14	12	0	38	19	361
5.371	13	0	1	0	0	119	13	14	0	37	18	324
6.159	13	1.314	1	0	0	103	13	14	0	33	19	361
5.927	16	0	0	0	0	120	16	12	1	25	20	400
5.094	16	0	1	0	1	122	16	8	1	40	21	441
5.298	12	.423	2	0	0	119	12	8	0	35	17	289
6.438	11	7.318	6	0	0	104	11	9	1	37	29	841
5.403	10	.737	0	0	0	96	10	8	0	22	18	324
5.416	12	2.914	4	0	0	83	12	8	1	36	21	441
5.768	12	.462	0	0	0	88	12	10	0	27	18	324
5.298	12	2.995	4	0	0	96	12	8	0	43	22	484
6.009	17	1.833	2	0	1	123	17	12	1	42	24	576
5.011	12	2.333	1	0	1	108	12	11	1	43	20	400
6.323	16	2.5	1	0	1	116	16	12	0	35	21	441
5.966	18	.908	1	0	0	109	18	16	1	45	24	576
4.942	12	2.568	1	0	1	97	12	12	0	39	22	484
5.011	12	1	2	0	0	107	12	12	0	34	17	289
5.894	12	8.027	2	0	0	95	12	12	1	27	26	676
5.74	14	1.384	2	0	1	109	14	15	1	31	22	484
5.768	12	1.9	3	0	0	104	12	12	1	36	19	361
5.704	12	1.667	2	0	0	110	12	12	1	37	24	576
6.176	13	4.088	1	0	1	94	13	13	0	40	27	729
5.9	12	2.416	2	0	0	103	12	8	1	38	23	529
5.727	12	0	1	0	1	123	12	8	0	45	18	324
5.298	12	.378	1	0	0	113	12	6	0	33	19	361
5.136	13	0	1	0	0	100	13	12	0	31	20	400
4.977	12	0	1	0	0	95	12	12	0	39	17	289
5.273	12	3.831	5	0	0	100	12	8	1	34	22	484
5.67	13	3.725	4	0	1	108	13	15	1	39	23	529
5.361	12	.769	1	0	1	101	12	12	1	47	24	576
5.298	12	2.25	2	0	1	90	12	12	0	43	21	441
5.737	12	2.94	4	0	1	115	12	8	1	41	21	441
5.361	13	.497	1	0	1	84	13	11	0	33	19	361
5.572	14	0	2	0	1	125	14	12	1	44	24	576
6.229	12	6.333	5	0	1	107	12	11	1	42	24	576
5.858	13	0	1	0	1	129	13	8	0	33	20	400
5.927	12	1.692	1	0	1	98	12	12	0	40	19	361
5.684	12	5.19	6	0	1	108	12	8	0	41	24	576
6.205	16	.78	1	1	1	114	16	2	1	37	22	484
5.663	16	0	1	0	0	111	16	12	1	37	25	625
5.298	12	.981	1	0	0	101	12	12	0	29	19	361
4.949	12	3.083	1	0	0	99	12	12	0	25	20	400
5.106	11	1.192	1	0	0	75	11	12	0	24	18	324
5.787	12	0	1	0	0	91	12	6	0	29	24	576
5.472	16	0	1	0	0	113	16	12	1	38	21	441
5.501	12	8.444	1	0	0	120	12	8	1	34	26	676
5.521	13	.369	1	0	1	98	13	12	0	32	19	361
6.098	16	.458	2	0	1	107	16	16	1	31	23	529
6.215	18	.384	5	0	1	121	18	12	1	39	24	576
5.663	15	0	1	0	1	134	15	12	0	42	22	484
6.297	16	.75	1	0	1	120	16	12	0	38	21	441
5.617	15	1.02	1	0	1	105	15	12	0	36	22	484
6.301	12	0	3	0	1	121	12	10	1	40	26	676
5.823	16	.463	1	0	1	113	16	12	1	29	21	441
5.784	12	0	1	0	1	106	12	12	1	37	20	400
6.603	18	1.408	5	0	1	104	18	9	1	41	27	729
5.617	11	0	1	0	1	80	11	10	0	23	19	361
5.784	12	1	1	0	1	117	12	10	0	28	17	289
5.714	16	1.385	1	0	1	126	16	12	0	42	20	400
5.58	12	4.961	1	0	1	112	12	10	0	42	22	484
5.762	12	3.156	1	0	1	83	12	6	0	20	22	484
4.828	10	0	1	0	1	84	10	6	0	13	19	361
5.989	12	.378	1	0	1	109	12	12	0	32	18	324
6.131	14	0	0	0	1	111	14	12	0	25	21	441
5.549	12	6.462	1	0	0	94	12	12	1	33	23	529
5.704	12	0	1	0	0	96	12	12	0	32	17	289
5.724	13	.673	1	0	0	101	13	12	0	33	19	361
5.869	11	0	1	0	1	90	11	12	1	35	18	324
6.225	16	3.378	4	0	1	120	16	12	1	48	24	576
6.066	16	2.231	0	0	1	120	16	12	0	38	21	441
5.737	12	2.378	3	0	1	108	12	8	1	29	19	361
5.762	13	2.19	4	0	1	99	13	12	1	43	22	484
5.602	11	2.462	1	0	1	80	11	12	1	31	20	400
5.631	11	5.333	3	0	1	93	11	10	1	45	22	484
5.521	13	.378	1	0	1	118	13	11	0	43	21	441
5.505	11	1	1	0	1	115	11	12	0	31	18	324
5.298	16	3.739	0	0	1	119	16	10	0	28	22	484
5.501	12	0	1	0	1	94	12	12	0	39	19	361
5.943	16	4.842	0	0	1	109	16	13	1	42	26	676
5.081	13	2.378	1	0	1	104	13	14	0	37	21	441
4.828	11	1.09	1	0	0	89	11	7	0	21	17	289
5.521	12	2.354	3	0	0	101	12	12	0	28	22	484
5.704	16	0	1	0	0	96	16	12	0	34	22	484
5.063	12	1.583	1	0	0	109	12	9	1	48	22	484
5.371	12	3.083	4	0	0	94	12	4	1	38	23	529
5.521	12	1.473	2	0	0	115	12	6	0	34	20	400
5.649	12	2.161	3	0	0	92	12	8	1	41	24	576
5.46	9	.519	1	0	0	71	9	11	0	32	17	289
4.883	11	0	1	0	0	130	11	12	1	39	19	361
5.846	16	.228	1	0	0	119	16	12	0	38	22	484
4.86	9	.462	1	0	1	74	9	10	0	24	18	324
6.033	15	3.754	1	0	1	124	15	10	1	23	20	400
5.298	14	.457	1	0	0	94	14	12	1	29	22	484
5.501	16	6.363	4	0	0	120	16	12	1	44	28	784
5.759	11	1.545	1	0	1	96	11	8	1	40	23	529
5.298	12	.423	1	0	1	98	12	12	0	42	17	289
5.198	12	2.333	2	0	0	109	12	9	0	44	19	361
6.201	17	0	0	0	1	100	17	12	0	39	22	484
5.252	12	.538	1	0	0	101	12	11	0	25	18	324
6.174	16	.167	1	0	0	111	16	12	1	40	21	441
6.133	16	2.981	5	0	0	106	16	8	1	38	26	676
5.704	12	1.128	2	0	0	102	12	12	1	37	23	529
5.846	14	.741	1	0	0	115	14	12	0	28	21	441
6.215	12	1.387	1	0	0	99	12	10	1	37	18	324
5.557	16	1.333	2	0	0	118	16	11	1	48	22	484
5.778	13	0	1	0	1	132	13	13	0	37	22	484
5.759	13	.333	1	0	1	108	13	12	0	26	18	324
5.545	12	2.166	2	0	1	98	12	14	0	40	19	361
5.553	12	6.083	1	0	1	111	12	8	0	44	22	484
5.412	11	4.356	4	0	1	79	11	8	1	36	24	576
5.298	12	1	1	0	0	97	12	12	0	29	19	361
4.654	15	2.333	1	0	0	99	15	12	1	49	24	576
5.704	16	0	0	0	1	101	16	12	0	33	23	529
5.394	17	0	2	0	0	120	17	12	0	45	22	484
5.298	12	.378	2	0	1	97	12	8	0	33	18	324
4.99	12	4.747	5	0	0	106	12	8	1	34	23	529
6.176	16	.478	2	0	0	131	16	12	0	44	21	441
5.501	10	2.045	1	0	0	93	10	12	1	32	20	400
5.704	12	.378	1	0	0	79	12	8	0	23	20	400
5.704	12	.378	1	0	1	100	12	11	0	38	17	289
6.196	16	.816	1	0	1	107	16	9	0	30	23	529
5.707	12	.378	1	0	1	105	12	12	1	22	19	361
5.841	12	5.302	5	0	0	114	12	12	1	25	22	484
5.663	12	9.378	1	0	0	116	12	8	1	36	27	729
5.182	12	5.25	4	0	1	104	12	11	1	41	23	529
5.704	12	3.583	5	0	1	85	12	9	0	48	21	441
5.835	12	2.833	1	0	1	93	12	9	0	46	18	324
5.846	10	0	1	0	0	100	10	8	1	40	23	529
5.9	16	.434	1	0	1	88	16	12	0	36	23	529
6.184	12	4.444	0	0	0	93	12	12	1	32	21	441
5.153	12	1.795	1	0	0	98	12	12	0	26	20	400
5.298	14	1.892	3	0	0	110	14	12	1	35	20	400
4.605	14	.635	1	0	0	94	14	11	0	38	20	400
5.22	12	1.201	2	0	0	77	12	8	1	36	23	529
5.805	12	3.142	1	0	1	102	12	12	0	44	21	441
6.14	14	5.369	1	0	1	113	14	16	1	49	26	676
5.704	10	5.434	7	1	1	103	10	12	1	38	24	576
5.011	11	3.333	1	1	1	96	11	12	1	31	21	441
5.22	11	5.333	1	1	1	97	11	12	1	35	23	529
5.694	12	2.317	3	1	1	89	12	15	1	39	23	529
6.23	16	.895	0	1	1	104	16	16	1	34	23	529
5.416	14	0	1	1	1	116	14	11	1	36	24	576
5.557	14	0	1	1	1	104	14	12	0	47	23	529
5.193	12	.541	1	1	1	114	12	12	0	37	18	324
5.771	16	1.553	0	0	0	103	16	12	1	40	23	529
5.565	12	1.25	2	1	1	92	12	6	1	34	22	484
6.001	18	4.706	0	1	1	98	18	8	1	41	23	529
5.82	13	1.417	2	1	1	114	13	12	1	48	23	529
5.05	12	1.917	3	1	1	110	12	12	1	37	24	576
6.615	17	1.113	2	1	1	132	17	8	1	39	25	625
5.298	16	5.932	0	1	0	112	16	8	1	37	24	576
5.481	9	2.5	2	1	1	99	9	12	1	42	22	484
5.572	13	3.333	5	1	1	106	13	12	0	45	24	576
6.215	15	.309	0	1	1	128	15	18	1	43	25	625
5.894	12	3.486	2	1	1	80	12	8	0	30	22	484
5.704	11	2.043	1	1	1	71	11	6	1	24	23	529
6.399	18	.792	1	1	1	127	18	12	0	45	23	529
6.109	16	0	2	1	1	114	16	8	0	43	23	529
5.481	13	.654	1	1	1	102	13	7	0	30	19	361
5.231	12	.462	3	1	1	88	12	12	0	34	19	361
5.858	12	1	1	1	1	88	12	12	0	32	17	289
5.549	15	1.916	2	1	1	110	15	14	1	45	23	529
6.176	16	0	0	0	1	130	16	8	0	39	22	484
5.112	11	3.378	1	1	1	101	11	12	1	36	21	441
